Intensity(µW/cm2/nm),Mac,,,,,,iOS,,,,,,,,
Wavelength,Full Brightness White Screen,Minimum Brightness White Screen,Full Brightness (1200K),Minimum Brightness (1200K),"Black, max brightness","Black, min brightness",White,White Medium,White Darkest,Black: Bright,Black: Medium,"Black, Blackest",Red,Red (Med),Red (Dark)
177.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
